Micro_Expression_Rate,Eye_Movement_Variability,Heart_Rate_Variability,Breathing_Rate,Reaction_Time_ms,Error_Rate_Per_Task,Sleep_Hours_Last_Night,Caffeine_Intake_mg,Experience_Level,Time_Of_Day,Task_Type,Subconscious_Stability_Score
,22.7,81.9,14.7,308.5,4.6,,93.7,Beginner,Evening,Cognitive,82.2
8.6,24.8,56.7,16.0,369.9,3.6,6.4,85.1,Expert,Afternoon,Creative,80.4
16.2,26.7,48.0,19.2,270.5,1.0,5.0,180.0,Intermediate,Afternoon,Cognitive,72.5
18.8,37.5,,17.6,388.9,3.2,9.4,172.8,Intermediate,Afternoon,Creative,74.8
18.5,26.6,62.0,18.2,259.4,3.6,7.3,208.6,Beginner,Afternoon,Cognitive,69.7
5.5,22.4,65.6,17.8,260.7,5.0,6.5,71.3,Beginner,Morning,Creative,81.9
14.0,30.8,67.6,14.9,326.9,4.6,9.3,82.9,Beginner,Morning,Cognitive,79.1
10.6,30.2,79.6,20.9,322.7,7.5,7.4,219.3,Expert,Afternoon,Analytical,93.2
15.6,27.0,54.0,14.0,349.0,2.0,6.7,199.4,Intermediate,Afternoon,Cognitive,81.3
13.3,29.0,,7.7,261.2,5.1,5.8,60.6,Intermediate,Afternoon,Cognitive,85.5
17.4,35.9,41.5,10.6,337.7,5.3,7.8,66.3,Beginner,Morning,Analytical,82.3
14.9,34.0,,15.6,236.1,4.6,7.8,135.2,Expert,Afternoon,Cognitive,96.1
7.4,33.5,51.1,15.0,210.2,3.4,8.0,194.5,Expert,Morning,Analytical,91.8
,22.9,68.9,14.4,411.4,2.6,,65.7,Beginner,Morning,Creative,67.4
15.0,47.3,55.1,16.5,372.3,3.9,9.2,125.2,Beginner,Morning,Analytical,79.2
,36.3,77.3,19.6,319.8,0.4,5.8,185.4,Beginner,Morning,Analytical,79.0
9.4,33.1,45.7,17.4,218.9,2.2,10.4,107.8,Beginner,Morning,Creative,79.1
8.9,23.0,70.2,17.9,297.1,2.1,9.7,115.4,Intermediate,Evening,Analytical,82.4
15.2,35.7,69.0,12.8,342.4,5.0,,205.3,Intermediate,Morning,Analytical,74.1
9.4,27.0,65.3,14.4,297.0,5.3,6.7,94.9,Beginner,Afternoon,Creative,78.8
8.3,28.8,48.8,18.1,398.1,1.9,5.9,196.1,Intermediate,Morning,Cognitive,76.5
13.2,19.9,65.3,16.3,351.5,1.4,7.2,111.0,Beginner,Evening,Cognitive,74.2
13.0,22.6,61.3,17.4,273.8,1.1,7.4,54.9,Beginner,Afternoon,Analytical,88.1
11.5,32.6,,17.8,240.2,6.0,8.3,153.4,Beginner,Morning,Cognitive,64.2
12.2,36.0,75.6,16.5,775.7,5.8,6.8,160.5,Intermediate,Afternoon,Cognitive,67.3
15.1,34.1,56.5,20.7,362.1,5.3,8.4,49.7,Intermediate,Afternoon,Analytical,82.2
